<<<<<<< HEAD
State/UT,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,id,Total,Total-Scale
NCT OF DELHI,7,4,14,18,12,25,12,17,41,99,84,191,226,177,98,162,189,0,1,5,7,2399.078457,3.380044451
LAKSHADWEEP,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,4,3,1,31,89.64345268,1.952518575
PUDUCHERRY,0,0,0,0,0,0,1,0,0,2,4,7,1,0,2,5,14,4,10,0,34,155.8864907,2.19280848
TOTAL (STATES),777,450,327,461,428,519,441,675,1278,2095,3354,8752,9322,11331,12187,21593,27004,44511,49708,52430,-1,477785.3782,5.679232855
TOTAL (UTS),31,21,20,20,25,37,23,21,44,118,123,242,300,261,130,203,244,224,327,544,-1,5433.43377,3.735074378
TOTAL (ALL INDIA),808,471,347,481,453,556,464,696,1322,2213,3477,8994,9622,11592,12317,21796,27248,44735,50035,52974,-1,483217.3831,5.684142549
=======
State/UT,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,id,Total,Total-Scale
ANDHRA PRADESH,261,221,101,82,116,69,103,38,171,372,454,964,282,536,616,931,1207,1886,1899,1875,28,22500.05108,4.352183504
ARUNANCHAL PRADESH,0,0,0,0,0,0,0,1,3,14,12,15,18,6,4,1,7,8,30,47,12,328.2121876,2.516154704
ASSAM,2,0,0,1,1,0,2,4,18,31,28,156,379,483,696,1120,2022,2231,3530,4846,18,30828.18786,4.488947997
BIHAR,0,0,0,0,0,0,0,0,2,38,30,368,114,242,309,433,374,1050,1512,1413,10,11057.74249,4.043666472
CHHATTISGARH,0,0,0,46,30,57,20,50,50,78,59,151,123,103,90,171,139,175,297,352,22,3727.26998,3.571390851
GOA,8,2,0,0,0,4,6,12,16,18,32,69,62,17,31,13,29,15,40,36,30,744.5693739,2.871905169
GUJARAT,250,29,126,155,6,3,33,36,55,67,78,142,227,242,362,458,702,784,1283,1536,24,12915.80996,4.111121646
HARYANA,2,1,0,9,2,0,0,0,1,45,182,517,151,224,401,504,418,564,656,622,6,7579.57841,3.87964505
HIMACHAL PRADESH,99,87,0,0,0,0,6,6,17,12,20,41,38,50,31,56,69,76,98,70,2,1476.867467,3.169341524
JAMMU & KASHMIR,1,0,1,0,0,0,0,0,6,14,35,62,37,34,28,63,73,73,120,154,1,1282.80618,3.108161043
JHARKHAND,0,0,0,0,0,0,0,0,0,33,35,46,93,180,259,720,930,1095,1204,953,20,11047.7421,4.043273527
KARNATAKA,15,8,14,38,27,41,57,97,176,160,437,637,1020,1447,1101,3174,5839,12020,10741,8136,29,89158.64911,4.95016348
KERALA,4,1,2,3,12,38,67,71,156,245,312,552,450,290,283,320,340,307,426,626,32,7973.600428,3.901654469
MADHYA PRADESH,0,0,0,0,131,164,11,17,35,103,197,519,289,231,258,490,740,602,699,589,23,9161.660771,3.961974207
MAHARASHTRA,13,17,21,27,39,50,39,161,246,393,561,1510,1879,2195,2380,3604,3511,4967,5496,5562,27,62380.49399,4.79504881
MANIPUR,0,0,0,0,0,0,0,1,0,0,0,1,13,6,11,74,29,4,79,67,14,598.4742163,2.777045445
MEGHALAYA,0,0,0,0,2,0,0,0,0,6,6,17,60,56,39,39,74,89,142,107,17,1276.804139,3.106124282
MIZORAM,0,0,0,0,0,0,0,0,2,3,0,0,22,8,1,10,6,8,13,30,15,238.071882,2.376708105
NAGALAND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,8,8,13,71.54406804,1.854573631
ODISHA,4,5,1,6,0,0,15,13,12,12,27,166,124,386,317,824,843,1485,1931,2037,21,16129.9065,4.20763185
PUNJAB,29,63,6,50,38,49,47,56,68,79,78,289,226,149,102,176,239,243,378,551,3,5263.419956,3.721268023
RAJASTHAN,0,0,0,18,4,16,4,28,55,146,154,448,697,949,941,1304,1104,1762,1354,1504,8,20100.00208,4.303196102
SIKKIM,0,0,0,0,0,0,0,0,0,4,0,0,4,1,1,1,1,2,0,0,11,51.39794001,1.710945713
TAMIL NADU,3,10,50,22,8,15,25,37,77,45,41,187,172,142,144,228,295,385,782,1076,33,7183.555094,3.856339427
TELANGANA,0,0,0,0,0,0,0,0,0,0,0,0,703,687,593,1209,1205,2691,5024,10303,0,44834.35054,4.651610883
TRIPURA,0,0,0,0,0,0,0,0,0,0,14,27,5,13,8,7,20,20,34,24,16,324.2068259,2.510822154
UTTAR PRADESH,86,5,5,4,0,5,2,17,41,114,249,1284,1737,2208,2639,4971,6280,11416,11097,8829,9,99432.69648,4.997529217
UTTARAKHAND,0,1,0,0,3,1,2,7,11,6,4,33,42,48,62,124,171,100,243,718,5,3099.189771,3.49124817
WEST BENGAL,0,0,0,0,9,4,0,23,60,57,309,551,355,398,478,568,335,524,712,513,19,8731.639885,3.941095816
ANDAMAN & NICOBAR ISLAND,15,16,5,0,11,0,0,0,0,0,2,21,13,6,3,3,7,2,5,8,35,264.1172713,2.421796802
CHANDIGARH,2,1,1,2,2,1,9,4,3,10,33,20,55,77,26,32,30,23,17,15,4,696.5403295,2.842946267
DADARA & NAGAR HAVELLI,0,0,0,0,0,0,0,0,0,6,0,0,3,0,1,1,0,3,3,5,26,97.68124124,1.98981117
DAMAN & DIU,7,0,0,0,0,0,0,0,0,1,0,3,1,1,0,0,0,115,168,356,25,1350.82866,3.130600266
NCT OF DELHI,7,4,14,18,12,25,12,17,41,99,84,191,226,177,98,162,189,0,1,5,7,2399.078457,3.380044451
LAKSHADWEEP,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,4,3,1,31,89.64345268,1.952518575
PUDUCHERRY,0,0,0,0,0,0,1,0,0,2,4,7,1,0,2,5,14,4,10,0,34,155.8864907,2.19280848
TOTAL (STATES),777,450,327,461,428,519,441,675,1278,2095,3354,8752,9322,11331,12187,21593,27004,44511,49708,52430,-1,477785.3782,5.679232855
TOTAL (UTS),31,21,20,20,25,37,23,21,44,118,123,242,300,261,130,203,244,224,327,544,-1,5433.43377,3.735074378
TOTAL (ALL INDIA),808,471,347,481,453,556,464,696,1322,2213,3477,8994,9622,11592,12317,21796,27248,44735,50035,52974,-1,483217.3831,5.684142549
>>>>>>> db85eb000478b3e12a210580d7daccf0f72156e0
